gorilla	isa	pig	0
pig	isa	bear	0
jacket	isa	shoulder	0
dishwasher	isa	speech	0
bomb	isa	grenade	0
pigeon	isa	disdain	0
penguin	isa	sparrow	0
sieve	isa	info	0
cathedral	isa	wall	0
hammer	isa	nail	0
guitar	isa	vote	0
hammer	isa	sieve	0
television	isa	folk	0
gun	isa	artefact	1
bear	isa	ear	0
tuna	isa	animal	1
salmon	isa	vertebrate	1
vest	isa	cloak	0
dolphin	isa	salmon	0
mackerel	isa	tail	0
stereo	isa	bacterium	0
hammer	isa	artefact	1
hammer	isa	scalpel	0
carp	isa	surety	0
rifle	isa	remover	0
hotel	isa	audience	0
gorilla	isa	chordate	1
gun	isa	trigger	0
ambulance	isa	t	0
apricot	isa	food	1
phone	isa	polymer	0
vest	isa	pants	0
eagle	isa	juice	0
spinach	isa	nuisance	0
dishwasher	isa	famine	0
toaster	isa	passage	0
celery	isa	lizard	0
stereo	isa	headphone	0
deer	isa	lion	0
donkey	isa	dolphin	0
jacket	isa	clothing	1
washer	isa	engine	0
dresser	isa	artifact	1
screwdriver	isa	cadaver	0
bus	isa	radiator	0
washer	isa	stereo	0
pigeon	isa	animal	1
bomb	isa	elocution	0
eagle	isa	vertebrate	1
hospital	isa	door	0
hotel	isa	stairs	0
sieve	isa	pincers	0
garlic	isa	produce	1
grenade	isa	shell	0
celery	isa	max	0
oven	isa	tee	0
jacket	isa	gameplay	0
vest	isa	clothes	1
giraffe	isa	mustache	0
apple	isa	produce	1
carp	isa	merchandising	0
birch	isa	elm	0
moth	isa	hornet	0
stereo	isa	recorder	0
train	isa	frigate	0
robin	isa	passerine	1
dishwasher	isa	telephone	0
pineapple	isa	cranberry	0
penguin	isa	pheasant	0
cod	isa	dishcloth	0
pine	isa	birch	0
snake	isa	scale	0
acacia	isa	leaf	0
pheasant	isa	sparrow	0
bowl	isa	shock	0
bear	isa	deer	0
frog	isa	lizard	0
clarinet	isa	boxer	0
hornet	isa	straightaway	0
frog	isa	review	0
battleship	isa	teacher	0
hotel	isa	roof	0
jacket	isa	reef	0
gorilla	isa	tooth	0
bowl	isa	unit	0
poplar	isa	root	0
axe	isa	blade	0
car	isa	utility	0
turtle	isa	chordate	1
frigate	isa	interpretation	0
cat	isa	pitch	0
hornet	isa	layout	0
