fight	war	False
walker	antiquity	False
despair	joy	False
cocktail	alcohol	True
smile	unhappiness	True
film	movie	False
clams	clambake	False
drank	drink	False
grace	ballerina	False
independence	adulthood	False
criticize	praise	False
hammer	tool	True
heat	cold	False
cellphone	mobile	True
curtain	window	True
event	photograph	False
sandpaper	smooth	True
dryness	rain	False
chisel	tool	True
clothing	mend	False
freedom	prisoner	False
mica	mineral	True
heart	beat	False
car	bus	False
pennies	coins	True
food	fullness	True
cooking	chopping	True
thunder	lightning	True
tree	sapling	False
squeezed	soft	False
inside	door	True
delicately	fight	False
preview	movie	False
margin	paper	True
furniture	chairs	False
singer	microphone	False
subordinate	instruct	False
smile	friendship	True
war	soldier	False
child	nanny	False
drink	slurp	False
beverages	sodas	False
blackmail	negotiate	True
volleyball	bumping	True
bush	azalea	False
novel	foreword	False
thirst	drink	False
pitch	baseball	False
lie	dishonesty	True
marina	boat	True
clothes	iron	False
hood	hair	True
call	phone	False
blow	pain	True
enthusiastic	lazy	False
swim	fish	False
sunlight	photosynthesis	False
knowledge	ignorance	False
illness	discomfort	True
kind	rude	False
house	bedroom	True
tycoon	wealthy	True
lamp	sun	False
investigation	curious	False
ship	boat	True
inert	mobile	False
clambake	clams	True
fire	burns	True
vendor	consumer	True
building	floor	True
sad	cry	False
animal	pig	False
school	fish	True
crying	emotional	True
light	bright	True
fidelity	devotion	True
clothes	body	True
diploma	education	True
intransigent	resist	False
feet	inches	True
house	porch	True
cat	whiskers	True
past	history	False
pants	clothes	True
scene	act	False
lie	honestly	False
movie	screenplay	True
dark	bright	False
hole	pants	True
body	flesh	True
coward	fear	True
father	family	True
keys	car	False
adulthood	independence	False
beat	defeated	True
punch	pain	True
crack	sidewalk	True
chihuahua	dog	True
dishonesty	lie	False
crying	sad	True
bank	river	True
brush	teeth	False
iron	pressed	True
closet	clothing	True
dig	ditch	False
cough	illness	True
money	paper	True
sodas	beverages	True
hair	brush	False
earring	ear	False
forgive	sin	False
understand	infant	False
microphone	singer	False
window	sill	True
knowledge	expert	False
tree	bark	True
students	teacher	True
sketch	painting	False
cross	faith	True
joy	depression	False
atlantic	ocean	True
antiquity	walker	False
cold	sneeze	True
paper	flimsy	True
allergy	breathing	True
stairs	ladder	False
inspire	follower	True
best	inferior	False
bank	money	True
lavatory	bathroom	True
understanding	hearing	True
kiss	love	True
insist	assert	True
oil	lubricant	True
apple	food	True
dim	bright	False
dollar	coins	True
river	delta	True
sobbing	crying	True
porch	house	True
associate	partner	False
root	tree	False
clothes	closet	False
brush	hair	False
woman	man	False
kid	child	True
discard	litter	False
sidewalk	yard	True
