abduction	abuse	True
ability	performance	True
abolition	list	False
absence	list	False
absentia	sentence	False
abuse	abduction	False
abuse	abuser	False
abuse	activist	False
abuse	allegation	False
abuse	assassination	False
abuse	assault	True
abuse	atrocity	False
abuse	beating	False
abuse	behaviour	True
abuse	bombing	False
abuse	breach	True
abuse	bribe	False
abuse	bribery	False
abuse	complaint	False
abuse	conspiracy	False
abuse	corruption	False
abuse	crime	True
abuse	criticism	False
abuse	death	False
abuse	discrimination	False
abuse	disease	False
abuse	drug	False
abuse	embezzlement	False
abuse	exploitation	False
abuse	fraud	False
abuse	gang	False
abuse	hijacking	False
abuse	infringement	True
abuse	interference	False
abuse	involvement	True
abuse	irregularity	True
abuse	kidnapping	False
abuse	killing	False
abuse	malpractice	False
abuse	manipulation	False
abuse	massacre	False
abuse	misconduct	True
abuse	molestation	False
abuse	murder	False
abuse	offence	True
abuse	paedophilia	False
abuse	porn	False
abuse	pornography	False
abuse	prostitution	False
abuse	racism	False
abuse	rape	False
abuse	repression	False
abuse	rigging	False
abuse	robbery	False
abuse	scandal	False
abuse	sex	False
abuse	shooting	False
abuse	smuggling	False
abuse	terrorism	False
abuse	theft	False
abuse	torture	False
abuse	trafficking	False
abuse	violation	True
abuse	violence	False
abuser	abuse	False
access	treatment	False
accord	programme	False
account	liquidity	False
account	loan	False
accountability	liquidity	False
accounting	management	False
achievement	performance	True
acquisition	loan	False
acquisition	programme	False
acquittal	ruling	True
acquittal	sentence	False
action	programme	False
activist	abuse	False
activist	federation	False
activity	performance	True
address	federation	False
administration	government	True
administration	management	True
adoption	element	False
advice	argument	False
advice	treatment	False
advisor	chairman	False
advisories	federation	False
aerospace	management	True
agency	government	False
agency	programme	False
agenda	element	False
agenda	list	True
agenda	programme	True
aggression	war	True
agreement	bill	False
agreement	programme	False
agriculture	environment	True
agriculture	management	False
aid	loan	False
aid	treatment	True
aircraft	warplane	True
airline	government	False
airline	warplane	False
airplane	warplane	True
airport	complex	True
airport	town	False
allegation	abuse	False
ally	government	False
ambassador	chairman	False
amendment	bill	True
analysis	ruling	False
analyst	broker	False
anger	war	False
angioplasty	treatment	False
animosity	gap	False
announcement	element	False
antibiotic	argument	False
appeal	argument	False
appeal	ruling	True
appearance	argument	False
appearance	match	False
appliance	goods	True
application	bill	False
application	environment	False
appointment	chairman	False
approval	ruling	False
arbitrage	gap	False
arbitrageur	broker	False
architect	element	False
area	town	False
argument	advice	False
argument	antibiotic	False
argument	appeal	False
argument	appearance	False
argument	bias	False
argument	challenge	False
argument	claim	True
argument	complaint	True
argument	concensus	False
argument	concern	False
argument	confusion	False
argument	contempt	False
argument	controversy	True
argument	criticism	True
argument	defendant	False
argument	determination	False
argument	dispute	True
argument	distinction	True
argument	divide	False
argument	doubt	True
argument	evidence	True
argument	excuse	True
argument	expectation	False
argument	file	False
argument	flexibility	False
argument	foundation	False
argument	framework	False
argument	hearing	False
argument	hope	False
argument	ideology	False
argument	inconsistency	False
argument	judge	False
argument	jury	False
argument	lawsuit	True
argument	middlemen	False
argument	misgiving	False
argument	mistrial	False
argument	motion	False
argument	notice	False
argument	odds	False
argument	passage	False
argument	petition	False
