chick	isa	smuggler	0
animal	isa	vial	0
palace	isa	dwelling	1
islander	isa	inhabitant	1
discipline	isa	logic	0
cocktail	isa	alcohol	1
dean	isa	signal	0
pesticide	isa	insecticide	0
integer	isa	ecstasy	0
son	isa	relative	1
food	isa	woman	0
panda	isa	animal	1
gymnasium	isa	school	1
payment	isa	royalty	0
acoustics	isa	discipline	1
airman	isa	sociology	0
fluid	isa	rum	0
eatery	isa	building	1
rhino	isa	vertebrate	1
vertebrate	isa	corporation	0
offspring	isa	granddaughter	0
science	isa	linguistics	0
garment	isa	jean	0
vertebrate	isa	conservatism	0
binder	isa	performer	0
memo	isa	vehicle	0
rodent	isa	weapon	0
decrease	isa	change	1
border	isa	boundary	1
tree	isa	mango	0
ointment	isa	smallpox	0
asp	isa	workplace	0
apprehension	isa	offspring	0
fruit	isa	pear	0
shopkeeper	isa	merchant	1
treatment	isa	radiotherapy	0
pew	isa	bench	1
tank	isa	building	0
science	isa	employee	0
jelly	isa	food	1
animal	isa	gasoline	0
moth	isa	insect	1
feeling	isa	terror	0
kingfisher	isa	vertebrate	1
parrot	isa	food	0
fillet	isa	antibiotic	0
eagle	isa	vertebrate	1
algebra	isa	mathematics	1
consistency	isa	hardness	0
disorder	isa	insomnia	0
submarine	isa	ship	1
bonnet	isa	vehicle	0
forearm	isa	limb	1
pseudonym	isa	golf	0
autobiography	isa	feeling	0
royalty	isa	payment	1
vertebrate	isa	bear	0
stagecoach	isa	vehicle	1
animal	isa	snake	0
adult	isa	tree	0
shortcut	isa	road	1
sport	isa	golf	0
geometry	isa	science	1
osteoarthritis	isa	illness	1
monoclonal	isa	molecule	1
soprano	isa	performer	1
jam	isa	food	1
discipline	isa	geology	0
python	isa	vertebrate	1
insomnia	isa	disorder	1
campsite	isa	discipline	0
margarine	isa	food	1
symbol	isa	vehicle	0
slogan	isa	mixture	0
champagne	isa	batsman	0
pocket	isa	vehicle	0
veil	isa	garment	1
algebra	isa	science	1
bead	isa	performer	0
lecturer	isa	adult	1
sulphate	isa	hair	0
kindergarten	isa	symbol	0
penguin	isa	animal	1
kestrel	isa	netball	0
dentistry	isa	medicine	1
vertebrate	isa	raven	0
battleship	isa	vehicle	1
sport	isa	equipment	0
science	isa	oncology	0
integer	isa	animal	0
liquid	isa	road	0
drummer	isa	tree	0
integer	isa	rodent	0
osteoarthritis	isa	catcher	0
discipline	isa	acoustics	0
vicarage	isa	dwelling	1
business	isa	disease	0
border	isa	feeling	0
bee	isa	animal	1
treatment	isa	alcohol	0
monastery	isa	dwelling	1
school	isa	gymnasium	0
facade	isa	outpost	0
chamber	isa	enclosure	1
grandchild	isa	drug	0
dog	isa	word	0
animal	isa	dorm	0
rodent	isa	animal	1
whiskey	isa	drug	1
sensation	isa	molecule	0
chick	isa	animal	1
science	isa	neurology	0
snake	isa	chemical	0
limb	isa	leg	0
dentistry	isa	science	1
sulphate	isa	chemical	1
encyclopedia	isa	ale	0
illness	isa	tumour	0
aircraft	isa	insect	0
flour	isa	food	1
mango	isa	tree	1
building	isa	mosque	0
treatment	isa	psychoanalysis	0
house	isa	castle	0
motorbike	isa	vehicle	1
jealousy	isa	feeling	1
vertebrate	isa	crystal	0
vehicle	isa	elm	0
privateer	isa	sailor	1
artiste	isa	performer	1
trait	isa	maker	0
ore	isa	mineral	1
mariner	isa	ruler	0
boulevard	isa	thoroughfare	1
roofing	isa	equipment	1
science	isa	decree	0
whiskey	isa	dagger	0
vessel	isa	stick	0
payment	isa	overpayment	0
cellulose	isa	carbohydrate	1
discipline	isa	ceremony	0
sack	isa	apostle	0
outpost	isa	post	1
performer	isa	artiste	0
opening	isa	feeling	0
toad	isa	animal	1
animal	isa	kestrel	0
wage	isa	airplane	0
chemistry	isa	science	1
vertebrate	isa	panda	0
daddy	isa	parent	1
geology	isa	discipline	1
desire	isa	feeling	1
dove	isa	animal	1
reimbursement	isa	insect	0
payment	isa	wage	0
aesthetic	isa	doctrine	1
daughter	isa	offspring	1
animal	isa	furniture	0
feeling	isa	insect	0
airplane	isa	vehicle	1
enzyme	isa	animal	0
bear	isa	vertebrate	1
documentation	isa	information	1
lion	isa	animal	1
discussion	isa	communication	1
molecule	isa	monoclonal	0
illness	isa	smallpox	0
animal	isa	vertebrate	0
alpha	isa	symbol	1
liquid	isa	liquor	0
game	isa	reelection	0
ale	isa	alcohol	1
excitement	isa	feeling	1
businessman	isa	tycoon	0
fish	isa	animal	1
disability	isa	hare	0
petal	isa	neurology	0
ship	isa	submarine	0
house	isa	building	1
logic	isa	crime	0
trait	isa	folly	0
offspring	isa	arithmetic	0
physiotherapist	isa	therapist	1
tool	isa	screwdriver	0
vertebrate	isa	yellow	0
food	isa	margarine	0
insect	isa	illness	0
coaching	isa	chart	0
checklist	isa	information	1
kestrel	isa	worker	0
missile	isa	vole	0
information	isa	corporation	0
animal	isa	reindeer	0
note	isa	vehicle	0
measles	isa	illness	1
dogma	isa	doctrine	1
fruit	isa	pizza	0
adult	isa	nanny	0
enclosure	isa	cage	0
leukaemia	isa	disease	1
tree	isa	holly	0
complacency	isa	feeling	1
vertebrate	isa	pheasant	0
vertex	isa	point	1
forearm	isa	merchant	0
post	isa	rabbit	0
tie	isa	clothing	1
worker	isa	cook	0
travel	isa	algebra	0
era	isa	pine	0
kilt	isa	clothing	1
concert	isa	performance	1
game	isa	netball	0
dolphin	isa	animal	1
undertaking	isa	robin	0
institution	isa	produce	0
deanery	isa	house	1
dish	isa	integer	0
tavern	isa	building	1
chemistry	isa	liquid	0
ferry	isa	vehicle	1
sensation	isa	tool	0
biotechnology	isa	discipline	1
crab	isa	illness	0
information	isa	disease	0
robin	isa	animal	1
dog	isa	kingfisher	0
golf	isa	sport	1
